sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
2.54E+05,0.13937,-1,-1820.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.57E+05,0.12043,-1,-1587.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.59E+05,0.057167,-1,-1471.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.61E+05,0.076267,-1,-1467.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.65E+05,0.12793,-1,-1398,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.69E+05,0.1325,-1,-1655,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.95E+05,0.8605,-1,-2040.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.13E+05,0.61413,-1,-1568.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.17E+05,0.111,-1,-1930.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.21E+05,0.15747,-1,-1913.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.23E+05,0.050133,1,-1858,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
3.23E+05,0.016467,2,-1725,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
3.23E+05,0.0042667,3,-978.89,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
3.30E+05,0.23383,-1,-1708.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.32E+05,0.0451,-1,-1179.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.35E+05,0.11263,1,-1880,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
3.35E+05,0.0097333,2,-1548.4,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
3.36E+05,0.0048667,3,-825.97,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
3.36E+05,0.0076667,4,-381.69,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
3.42E+05,0.19313,-1,-1677.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.44E+05,0.0766,-1,-1972.1,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.62E+05,0.61027,-1,-1905,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.66E+05,0.12347,-1,-1958.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.69E+05,0.1062,-1,-1769.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.71E+05,0.068933,-1,-1766.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
